Name,Mid-2008 Population,Inflow 2008,Outflow 2008,Net Migration Rate 2008,Mid-2009 Population,Inflow 2009,Outflow 2009,Net Migration Rate 2009,Mid-2010 Population,Inflow 2010,Outflow 2010,Net Migration Rate 2010,Mid-2011 Population,Inflow 2011,Outflow 2011,Net Migration Rate 2011,Mid-2012 Population,Inflow 2012,Outflow 2012,Net Migration Rate 2012 ,Mid-2013 Population,Inflow 2013,Outflow 2013,Net Migration Rate 2013,Mid-2014 Population,Inflow 2014,Outflow 2014,Net Migration Rate 2014,Mid-2015 Population,Inflow 2015,Outflow 2015,Net Migration Rate 2015,Mid-2016 Population,Inflow 2016,Outflow 2016,Net Migration Rate 2016,,Mid-2017 Population,Net Migration Rate 2017,Inflow 2017,Outflow 2017
Hyndburn,"81,176",310,205,1,"81,003",181,169,0,"80,876",131,117,0,"80,549",252,161,1,"80,160",172,131,1,"79,953",178,178,0,"80,150",211,109,1,"80,113",202,125,1,"80,392",221,141,1,,"80,410",1,212,145
Lancaster,"135,812","1,801","1,100",5,"136,013","1,781",719,8,"137,120","1,837",551,9,"137,823","2,132",650,11,"139,317","1,970",868,8,"139,835","2,013",981,7,"140,172","1,972","1,094",6,"140,787","2,134",858,9,"141,723","2,114","1,090",7,,"142,487",4,"1,844","1,222"
Pendle,"89,005",490,219,3,"89,287",369,181,2,"89,234",285,136,2,"89,576",476,169,3,"89,541",411,237,2,"89,973",410,198,2,"89,655",569,238,4,"89,925",637,191,5,"90,515",795,199,7,,"90,696",4,663,265
Preston,"138,443","2,635","1,346",9,"137,956","1,469",885,4,"138,831","1,501",622,6,"140,054","1,560",894,5,"140,456","1,071",790,2,"140,002","1,120","1,060",0,"139,907","1,351","1,107",2,"140,685","1,606","1,000",4,"141,023","1,684","1,164",4,,"141,346",1,"1,448","1,308"
Ribble Valley,"57,158",190,230,-1,"57,004",139,119,0,"57,218",116,90,0,"57,292",153,123,1,"57,606",133,98,1,"57,878",130,135,0,"58,105",137,124,0,"58,519",173,96,1,"58,864",151,113,1,,"59,504",0,138,126
Rossendale,"67,063",113,133,0,"67,479",116,125,0,"67,824",95,77,0,"68,053",146,107,1,"68,332",98,91,0,"68,698",96,106,0,"69,104",108,89,0,"69,418",108,68,1,"69,787",107,71,1,,"70,365",1,125,52
South Ribble,"107,830",222,177,0,"108,609",226,120,1,"108,846",202,83,1,"109,181",301,140,1,"108,999",253,151,1,"108,964",195,192,0,"109,116",207,204,0,"109,685",208,177,0,"110,136",221,190,0,,"110,400",0,222,208
West Lancashire,"110,666",522,303,2,"110,583",497,232,2,"110,763",568,167,4,"110,617",492,179,3,"110,911",442,236,2,"111,216",416,261,1,"111,845",492,274,2,"112,482",468,274,2,"113,061",509,264,2,,"113,881",1,495,368
Wyre,"108,245",327,292,0,"108,057",312,198,1,"107,912",242,138,1,"107,692",321,196,1,"107,809",302,160,1,"108,167",210,144,1,"108,594",261,162,1,"109,546",246,115,1,"110,002",231,117,1,,"110,426",1,269,105
Blaby,"93,341",265,140,1,"93,511",191,113,1,"93,935",172,120,1,"94,132",247,104,2,"94,608",165,135,0,"95,105",180,146,0,"95,836",213,119,1,"96,458",205,142,1,"97,562",220,154,1,,"98,977",1,204,141
Charnwood,"160,509","2,140","1,233",6,"162,330","1,754",834,6,"164,346","1,928",855,7,"165,876","2,026",817,7,"168,370","1,607",892,4,"169,993","1,444",737,4,"172,548","1,641",644,6,"175,167","1,632",743,5,"177,378","1,592",731,5,,"180,387",5,"1,469",590
Harborough,"83,417",244,184,1,"84,132",187,130,1,"84,849",154,149,0,"85,699",235,156,1,"86,368",237,161,1,"87,426",177,152,0,"87,935",208,122,1,"89,144",216,137,1,"90,251",249,135,1,,"91,461",1,199,105
Hinckley and Bosworth,"104,179",344,257,1,"104,473",240,173,1,"104,734",176,203,0,"105,328",301,188,1,"105,956",250,258,0,"106,527",207,185,0,"107,560",276,187,1,"108,603",279,208,1,"109,881",296,190,1,,"111,370",1,256,183
Melton,"49,287",189,119,1,"49,481",137,79,1,"50,077",102,84,0,"50,495",143,131,0,"50,785",129,149,0,"50,868",115,119,0,"51,012",126,89,1,"50,956",136,110,1,"50,967",136,95,1,,"50,873",1,132,86
North West Leicestershire,"92,283",361,248,1,"92,728",272,177,1,"93,165",203,189,0,"93,670",272,171,1,"93,985",169,120,1,"94,716",173,141,0,"95,731",203,106,1,"97,098",262,101,2,"98,436",244,113,1,,"100,109",1,229,109
Oadby and Wigston,"56,220",251,116,2,"55,600",233,123,2,"55,186",351,194,3,"55,979",365,140,4,"56,110",249,220,1,"56,282",218,134,1,"56,060",238,127,2,"55,984",275,126,3,"55,991",335,118,4,,"57,035",3,285,107
Boston,"62,176","1,755",275,24,"63,399","1,903",219,27,"64,475","1,819",321,23,"64,615","1,072",298,12,"64,855","1,082",318,12,"65,831","1,376",262,17,"66,454","1,378",207,18,"66,876","1,538",198,20,"67,709","1,733",208,23,,"68,488",16,"1,374",279
East Lindsey,"137,466",551,369,1,"137,140",485,276,2,"137,251",368,218,1,"136,683",361,287,1,"136,651",386,177,2,"136,799",332,190,1,"137,722",351,143,2,"138,068",387,113,2,"138,743",363,122,2,,"139,718",1,337,135
Lincoln,"90,207","1,108",793,3,"90,813",942,565,4,"92,188",871,433,5,"93,085",839,664,2,"94,535",774,631,2,"95,371",926,547,4,"95,910","1,075",370,7,"96,641","1,105",472,7,"97,385","1,098",507,6,,"98,438",5,963,499
North Kesteven,"105,495",577,343,2,"106,456",589,268,3,"107,478",594,234,3,"108,518",296,231,1,"109,311",240,203,0,"109,935",219,189,0,"111,197",237,114,1,"112,186",281,114,1,"113,644",254,107,1,,"115,230",1,232,107
South Holland,"85,957","1,138",211,11,"86,987","1,109",153,11,"87,905",931,150,9,"88,390",669,193,5,"88,546",610,258,4,"89,184",805,237,6,"90,382",887,185,8,"91,245","1,023",177,9,"92,527","1,085",215,9,,"93,295",6,904,305
South Kesteven,"131,218",902,468,3,"132,188",799,310,4,"133,144",661,279,3,"134,125",458,346,1,"135,212",469,310,1,"136,612",508,365,1,"138,339",602,261,2,"139,376",606,290,2,"140,900",609,274,2,,"141,662",2,540,322
West Lindsey,"88,261",190,151,0,"88,616",193,124,1,"89,364",191,105,1,"89,352",206,130,1,"90,074",198,111,1,"90,791",175,111,1,"91,882",202,59,2,"92,958",216,88,1,"93,903",208,81,1,,"94,340",1,187,67
Breckland,"128,938",986,485,4,"129,431",804,539,2,"129,932",726,332,3,"131,009",831,329,4,"131,857",889,331,4,"132,995",748,303,3,"134,287",808,217,4,"135,698",858,263,4,"137,123",800,377,3,,"138,602",2,757,443
Broadland,"123,387",268,208,0,"123,819",256,221,0,"124,483",209,109,1,"124,740",254,99,1,"125,173",215,152,1,"125,499",202,141,0,"125,956",216,80,1,"126,626",224,104,1,"127,402",232,156,1,,"128,535",0,199,143
Great Yarmouth,"95,924",762,214,6,"96,414",573,205,4,"97,063",530,94,4,"97,424",472,110,4,"97,555",431,223,2,"97,736",527,225,3,"98,127",613,156,5,"98,615",644,129,5,"98,992",573,194,4,,"99,417",3,564,239
King's Lynn and West Norfolk,"145,551","1,161",501,5,"146,428","1,143",633,3,"147,134",924,408,4,"147,936",804,318,3,"148,579",658,508,1,"149,187",667,432,2,"150,214",758,333,3,"151,261",760,370,3,"151,797",871,493,2,,"151,945",1,737,526
North Norfolk,"100,887",434,190,2,"100,556",465,197,3,"100,780",399,113,3,"101,664",435,103,3,"101,829",460,180,3,"102,079",413,174,2,"102,872",398,173,2,"103,252",414,95,3,"103,587",382,165,2,,"104,067",2,363,112
Norwich,"128,034","2,380","1,470",7,"129,219","2,412","1,638",6,"130,923","2,375",990,11,"132,158","2,518","1,011",11,"133,867","2,032","1,273",6,"135,118","2,364","1,183",9,"136,587","2,512",953,11,"138,097","2,926",785,16,"139,865","2,897","1,477",10,,"140,353",6,"2,431","1,549"
South Norfolk,"118,774",326,245,1,"120,488",314,275,0,"122,611",262,123,1,"124,495",329,139,2,"125,987",291,254,0,"127,682",268,216,0,"129,345",352,212,1,"131,199",381,187,1,"132,965",342,252,1,,"135,471",1,332,253
Corby,"57,921",629,298,6,"59,035",456,216,4,"60,124",393,162,4,"61,607",444,172,4,"63,103",569,246,5,"64,214",564,196,6,"65,467",714,142,9,"66,887",761,168,9,"68,295",927,202,11,,"69,540",7,744,252
Daventry,"77,118",355,340,0,"77,700",271,229,1,"77,725",229,263,0,"78,070",283,221,1,"78,231",259,267,0,"78,457",272,224,1,"78,894",352,166,2,"79,795",341,190,2,"81,098",403,165,3,,"82,638",2,330,170
East Northamptonshire,"85,551",199,250,-1,"85,929",182,207,0,"86,342",203,285,-1,"86,869",254,280,0,"87,427",265,230,0,"88,136",250,220,0,"89,027",292,160,1,"90,074",420,205,2,"91,382",456,230,2,,"93,135",2,385,202
Kettering,"91,194",452,415,0,"92,123",375,318,1,"92,910",368,490,-1,"93,846",417,295,1,"94,864",431,286,2,"95,765",395,226,2,"96,949",446,196,3,"97,605",561,256,3,"98,947",614,272,3,,"100,252",3,512,247
Northampton,"205,579","3,332","1,473",9,"207,875","2,870","1,274",8,"210,084","2,729","1,431",6,"212,492","2,403","1,300",5,"214,316","2,138","1,319",4,"215,938","2,226","1,258",4,"218,446","3,060","1,066",9,"221,503","3,795","1,309",11,"224,499","4,057","1,301",12,,"225,656",9,"3,308","1,364"
South Northamptonshire,"85,757",213,306,-1,"85,693",226,234,0,"85,647",197,273,-1,"85,446",241,244,0,"86,301",195,215,0,"87,251",321,153,2,"88,155",249,135,1,"89,106",254,150,1,"89,864",275,148,1,,"91,074",1,232,139
Wellingborough,"75,081",506,354,2,"75,109",342,221,2,"75,179",295,225,1,"75,637",443,253,3,"76,089",437,337,1,"75,894",451,259,3,"76,413",543,189,5,"77,197",704,202,7,"78,367",907,245,8,,"78,914",6,685,219
Craven,"55,586",185,143,1,"55,326",200,206,0,"55,398",151,219,-1,"55,459",182,191,0,"55,492",162,161,0,"55,594",158,123,1,"55,750",180,175,0,"55,826",175,124,1,"56,343",163,80,1,,"56,604",2,193,100
Hambleton,"88,482",280,151,1,"88,645",294,269,0,"89,096",231,243,0,"89,602",252,121,1,"89,794",257,210,1,"89,997",228,182,1,"89,915",277,224,1,"90,074",252,190,1,"90,591",255,130,1,,"90,718",1,236,159
Harrogate,"155,843",926,603,2,"156,511",932,803,1,"157,531",707,697,0,"158,683",759,693,0,"159,396",760,912,-1,"159,679",685,572,1,"159,631",810,639,1,"159,916",862,571,2,"159,768",869,604,2,,"160,044",1,790,682
Richmondshire,"52,125",350,200,3,"52,440",438,405,1,"52,877",348,389,-1,"53,287",394,350,1,"53,808",282,411,-2,"53,897",239,226,0,"52,812",234,188,1,"52,565",184,151,1,"53,876",290,103,3,,"53,699",2,230,104
Ryedale,"52,100",238,89,3,"52,157",252,172,2,"51,949",182,129,1,"51,893",164,100,1,"52,157",191,147,1,"52,334",167,151,0,"52,848",173,123,1,"53,332",205,119,2,"53,861",209,83,2,,"54,311",1,189,117
Scarborough,"109,015",430,209,2,"108,943",437,337,1,"109,014",379,241,1,"108,735",436,267,2,"108,662",362,275,1,"108,330",349,275,1,"108,152",377,350,0,"108,089",357,197,1,"108,157",444,258,2,,"108,370",1,405,257
Selby,"81,828",276,100,2,"82,374",261,120,2,"83,163",215,77,2,"83,547",241,84,2,"84,199",240,129,1,"84,893",243,84,2,"85,622",333,163,2,"86,215",261,123,2,"86,942",285,157,1,,"87,887",1,299,170
Ashfield,"116,971",297,178,1,"117,875",196,114,1,"118,566",181,108,1,"119,522",288,193,1,"120,120",184,140,0,"121,546",224,143,1,"122,490",250,99,1,"123,577",275,108,1,"124,513",340,133,2,,"126,164",1,297,136
Bassetlaw,"112,106",442,191,2,"112,563",351,126,2,"112,924",412,98,3,"113,003",352,168,2,"113,235",311,188,1,"113,704",344,200,1,"114,256",457,145,3,"114,689",444,149,3,"115,212",512,137,3,,"116,304",2,435,198
Broxtowe,"108,730",837,308,5,"109,217",726,243,4,"109,252",822,340,4,"109,749",854,419,4,"110,568",679,489,2,"111,077",646,405,2,"111,534",594,343,2,"111,837",642,340,3,"112,116",635,341,3,,"112,718",2,571,308
Gedling,"112,293",259,198,1,"112,688",223,146,1,"113,066",179,157,0,"113,741",268,217,0,"114,061",170,185,0,"114,974",198,185,0,"115,815",212,139,1,"116,142",217,172,0,"116,746",250,172,1,,"117,128",1,217,151
Mansfield,"103,269",521,222,3,"103,711",365,177,2,"104,120",305,152,1,"104,551",429,239,2,"104,812",440,218,2,"105,334",572,210,3,"105,972",526,154,4,"106,780",815,193,6,"107,880",926,234,6,,"108,576",4,734,269
Newark and Sherwood,"113,309",517,313,2,"113,914",409,237,2,"114,596",416,240,2,"114,982",427,302,1,"115,851",419,246,1,"116,878",373,271,1,"117,859",416,183,2,"118,695",452,182,2,"119,848",494,193,3,,"120,965",2,459,243
Rushcliffe,"109,393",437,367,1,"110,137",383,253,1,"111,121",366,341,0,"111,248",383,426,0,"111,520",408,311,1,"112,910",290,225,1,"113,690",351,197,1,"114,497",333,183,1,"115,168",346,211,1,,"115,996",1,310,164
Cherwell,"139,440","1,322",657,5,"140,301","1,193",667,4,"141,337",874,372,4,"142,252",821,391,3,"142,936",794,672,1,"143,822",816,614,1,"144,520","1,019",605,3,"145,554","1,126",699,3,"146,635","1,256",693,4,,"147,602",1,"1,054",936
Oxford,"144,433","5,908","5,246",5,"145,478","6,040","4,824",8,"147,907","5,769","3,179",18,"150,245","5,853","3,751",14,"151,477","5,315","4,096",8,"152,406","4,873","3,374",10,"154,664","5,763","3,013",18,"154,716","5,988","3,766",14,"155,292","5,822","3,458",15,,"154,582",9,"5,266","3,931"
South Oxfordshire,"132,611","1,011",834,1,"133,466",913,939,0,"133,915",733,616,1,"134,961",650,708,0,"135,722",569,534,0,"136,328",599,619,0,"137,477",708,478,2,"138,177",723,486,2,"139,156",783,446,2,,"139,767",1,696,514
Vale of White Horse,"119,284",992,630,3,"120,026",925,733,2,"120,823",738,455,2,"121,891",853,324,4,"122,710",620,557,1,"123,497",653,548,1,"124,621",895,432,4,"126,534",921,401,4,"128,653",927,419,4,,"131,227",3,860,484
West Oxfordshire,"103,016",578,406,2,"103,824",558,452,1,"104,706",417,345,1,"105,442",361,276,1,"107,164",385,357,0,"107,945",366,396,0,"108,095",477,263,2,"108,609",545,307,2,"108,748",584,281,3,,"109,266",2,501,336
Mendip,"108,567",665,622,0,"108,604",588,726,-1,"109,006",585,476,1,"109,406",449,330,1,"110,050",430,256,2,"110,326",403,318,1,"111,091",498,295,2,"112,056",536,321,2,"113,131",552,316,2,,"113,513",1,464,312
Sedgemoor,"112,885",722,547,2,"112,934",538,577,0,"113,786",545,422,1,"114,919",597,317,2,"116,067",504,244,2,"117,441",476,266,2,"118,959",529,252,2,"120,141",549,210,3,"121,345",545,289,2,,"122,178",2,494,308
South Somerset,"160,171",911,702,1,"160,678",727,712,0,"160,871",555,391,1,"162,113",683,335,2,"163,038",537,465,0,"164,006",533,435,1,"164,834",666,335,2,"165,510",781,468,2,"166,526",808,484,2,,"167,216",1,700,522
Taunton Deane,"108,801",686,581,1,"109,312",513,532,0,"109,946",500,291,2,"110,555",525,322,2,"111,431",522,321,2,"112,201",460,327,1,"112,909",527,367,1,"114,241",630,326,3,"115,969",707,387,3,,"117,423",2,561,367
West Somerset,"35,244",253,134,3,"35,064",186,142,1,"35,000",147,79,2,"34,588",123,77,1,"34,611",131,85,1,"34,396",115,68,1,"34,410",140,118,1,"34,518",156,86,2,"34,475",151,100,1,,"34,865",1,138,101
Cannock Chase,"95,999",132,89,0,"96,514",85,97,0,"96,898",90,62,0,"97,582",166,110,1,"97,932",100,64,0,"98,106",99,80,0,"98,508",147,73,1,"98,490",172,71,1,"98,513",225,77,2,,"99,126",1,169,58
East Staffordshire,"111,191",864,288,5,"112,033",384,259,1,"112,979",357,162,2,"113,858",614,262,3,"114,487",547,226,3,"114,940",579,341,2,"115,720",675,293,3,"116,196",940,353,5,"116,937","1,013",373,5,,"117,552",4,825,358
Lichfield,"99,490",389,154,2,"100,012",206,145,1,"100,424",153,129,0,"100,911",219,181,0,"101,175",225,159,1,"101,716",240,164,1,"102,062",291,121,2,"102,566",263,167,1,"102,831",256,127,1,,"103,507",1,251,109
Newcastle-under-Lyme,"123,213",600,307,2,"123,073",499,419,1,"123,351",634,313,3,"123,878",872,310,5,"124,104",717,299,3,"125,184",678,270,3,"125,978",830,243,5,"126,863",765,262,4,"128,126",704,299,3,,"128,963",3,667,242
South Staffordshire,"107,501",125,83,0,"107,561",106,121,0,"108,050",97,72,0,"108,318",174,95,1,"108,443",130,70,1,"110,323",120,106,0,"110,688",118,88,0,"110,712",139,93,0,"111,173",156,76,1,,"111,890",1,128,61
Stafford,"128,320",784,359,3,"129,041",469,537,-1,"130,001",455,401,0,"130,895",572,291,2,"131,554",530,421,1,"131,984",576,395,1,"132,044",600,433,1,"132,220",651,363,2,"133,664",628,352,2,,"134,764",3,574,196
Staffordshire Moorlands,"96,604",180,112,1,"96,781",134,155,0,"96,987",109,116,0,"97,209",165,105,1,"97,239",106,70,0,"97,488",108,64,0,"97,838",122,83,0,"98,011",134,92,0,"98,176",123,74,0,,"98,496",1,119,61
Tamworth,"75,824",264,94,2,"76,255",140,128,0,"76,582",115,102,0,"76,895",189,132,1,"77,105",135,102,0,"77,096",130,115,0,"77,032",198,105,1,"77,108",270,96,2,"77,010",341,79,3,,"76,527",2,253,112
Babergh,"87,260",268,263,0,"87,411",250,413,-2,"87,467",211,265,-1,"87,901",279,227,1,"88,088",242,207,0,"88,704",243,167,1,"89,413",267,151,1,"89,900",245,115,1,"90,250",252,147,1,,"90,794",1,224,116
Forest Heath,"57,506",490,498,0,"57,876",449,542,-2,"58,602",321,372,-1,"60,038",422,599,-3,"59,880",430,548,-2,"59,814",346,558,-4,"62,527",410,312,2,"63,676",424,427,0,"63,298",434,509,-1,,"65,523",-2,396,510
Ipswich,"127,387","1,645",911,6,"129,320","1,405","1,227",1,"131,729","1,125",652,4,"133,729",957,923,0,"135,065",896,755,1,"135,604",857,643,2,"136,429","1,032",580,3,"137,694","1,436",522,7,"138,515","1,574",803,6,,"138,480",3,"1,312",858
Mid Suffolk,"94,603",210,195,0,"95,250",229,305,-1,"96,244",177,193,0,"97,076",229,199,0,"97,789",213,157,1,"98,431",189,147,0,"99,596",212,112,1,"100,251",224,128,1,"100,720",224,131,1,,"101,543",1,215,120
St Edmundsbury,"107,453",440,441,0,"108,449",392,672,-3,"110,002",280,306,0,"111,443",429,420,0,"111,588",391,439,0,"111,865",389,381,0,"112,355",464,294,2,"112,949",499,326,2,"113,389",533,434,1,,"113,725",0,468,415
Suffolk Coastal,"123,841",525,425,1,"123,841",435,533,-1,"124,262",330,287,0,"124,590",433,386,0,"124,652",410,241,1,"125,212",344,270,1,"125,889",411,225,1,"126,580",514,215,2,"127,836",491,293,2,,"129,016",1,438,313
Waveney,"116,298",317,250,1,"116,036",315,373,0,"115,670",263,186,1,"115,356",334,268,1,"115,740",350,219,1,"116,214",215,155,1,"116,290",290,120,1,"116,684",323,115,2,"117,167",299,144,1,,"117,897",1,273,141
Elmbridge,"129,908","1,317","1,971",-5,"129,991","1,152","2,078",-7,"130,937",971,"1,413",-3,"131,428",969,"1,661",-5,"132,184",872,"1,242",-3,"133,499",817,934,-1,"134,833",992,684,2,"135,398","1,069",693,3,"136,085","1,080",552,4,,"136,379",2,966,740
Epsom and Ewell,"72,514",554,357,3,"73,106",495,343,2,"74,278",418,230,3,"75,191",465,281,2,"75,839",370,491,-2,"76,906",375,314,1,"77,988",477,307,2,"78,459",521,374,2,"78,999",539,319,3,,"79,451",1,467,348
Guildford,"132,401","3,008","2,149",6,"133,584","3,277","2,104",9,"135,547","3,511","1,414",15,"137,580","3,737","1,803",14,"139,338","3,177","1,938",9,"140,657","2,823","1,409",10,"142,551","2,865","1,378",10,"145,056","3,015","1,545",10,"146,845","3,210","1,401",12,,"147,777",7,"2,679","1,582"
Mole Valley,"84,256",535,523,0,"84,732",553,552,0,"85,413",379,367,0,"85,637",411,445,0,"86,096",338,459,-1,"86,761",320,465,-2,"86,871",377,316,1,"86,978",443,309,2,"87,258",451,272,2,,"87,128",1,396,292
Reigate and Banstead,"132,857",953,706,2,"134,934",852,640,2,"136,741",609,403,2,"138,375",722,566,1,"139,772",580,583,0,"140,928",596,581,0,"142,858",767,445,2,"143,794",795,503,2,"145,284",844,434,3,,"146,383",2,736,470
Runnymede,"78,694","1,349",488,11,"79,373","1,226",704,7,"80,283","1,215",783,5,"80,501","1,204",739,6,"81,878","1,330",871,6,"83,094","1,148",500,8,"83,906","1,262",691,7,"84,992","1,526",767,9,"86,370","1,537",666,10,,"86,882",7,"1,299",711
Spelthorne,"93,182",681,311,4,"94,001",554,404,2,"94,848",476,395,1,"95,852",562,459,1,"96,737",461,390,1,"97,371",418,404,0,"97,941",542,366,2,"98,419",636,361,3,"98,869",669,353,3,,"99,120",2,567,415
Surrey Heath,"84,345",674,709,0,"85,142",553,607,-1,"85,843",453,404,1,"86,378",474,572,-1,"86,700",373,443,-1,"87,134",333,365,0,"87,814",456,286,2,"88,385",483,326,2,"88,705",484,314,2,,"88,765",2,444,269
Tandridge,"81,543",398,366,0,"82,099",366,373,0,"82,756",288,240,1,"83,178",297,249,1,"83,642",282,279,0,"84,616",275,182,1,"85,340",314,166,2,"85,914",335,216,1,"86,527",327,180,2,,"87,297",1,289,195
Waverley,"119,012",872,831,0,"120,106",958,678,2,"120,957",754,393,3,"121,754",745,576,1,"122,081",595,543,0,"122,783",598,532,1,"123,359",709,454,2,"124,011",785,435,3,"124,593",808,413,3,,"125,010",2,723,503
Woking,"95,530","1,310","1,284",0,"96,597","1,165","1,168",0,"98,201","1,017",672,4,"99,493",869,855,0,"99,779",643,811,-2,"100,387",638,652,0,"100,634",767,557,2,"100,976",872,600,3,"101,421",953,572,4,,"101,129",2,832,590
North Warwickshire,"61,968",145,98,1,"62,124",115,129,0,"62,066",97,101,0,"62,089",136,99,1,"62,206",94,54,1,"62,119",77,68,0,"62,448",124,60,1,"62,765",157,81,1,"63,193",140,58,1,,"64,069",1,133,56
Nuneaton and Bedworth,"123,868",440,199,2,"124,330",357,270,1,"124,759",281,238,0,"125,409",379,398,0,"125,867",257,278,0,"126,118",269,298,0,"126,309",299,273,0,"126,603",420,286,1,"127,674",502,241,2,,"128,659",1,383,256
Rugby,"96,434",978,254,8,"97,662",719,318,4,"99,035",581,337,2,"100,496",601,409,2,"101,030",631,444,2,"101,819",710,393,3,"103,189",845,435,4,"104,455",941,379,5,"105,291",979,445,5,,"106,350",4,861,432
Stratford-on-Avon,"119,666","1,275",497,7,"119,826","1,060",812,2,"120,191","1,059",965,1,"120,824",570,459,1,"120,794",714,500,2,"121,253",583,392,2,"121,779",713,376,3,"122,438",755,381,3,"123,345",775,370,3,,"125,202",3,687,307
Warwick,"137,448","1,251",696,4,"138,189","1,090","1,108",0,"138,115",924,"1,140",-2,"137,736","1,071","1,210",-1,"138,423",821,973,-1,"138,208",849,835,0,"138,725","1,495","1,096",3,"138,893","1,194","1,094",1,"139,488","1,474",988,3,,"140,282",4,"1,317",820
Adur,"60,721",198,137,1,"61,023",207,170,1,"61,216",174,110,1,"61,334",171,170,0,"61,970",177,123,1,"62,605",165,120,1,"63,266",181,97,1,"63,526",196,95,2,"63,621",226,115,2,,"63,721",1,183,107
Arun,"148,458","1,396",618,5,"148,891","1,136",614,4,"149,467","1,161",434,5,"149,811",836,459,3,"151,556",874,549,2,"153,013",811,410,3,"154,653",847,440,3,"155,798",865,492,2,"157,287","1,017",404,4,,"158,657",2,840,588
Chichester,"111,796","1,046",573,4,"112,474","1,006",509,4,"113,411",976,552,4,"113,995",627,568,1,"114,899",844,539,3,"115,800",735,484,2,"116,261",786,425,3,"117,784",796,408,3,"119,125",849,406,4,,"120,192",2,766,468
Crawley,"102,827","1,617",519,11,"103,843","1,403",536,8,"105,478","1,186",328,8,"107,053","1,036",401,6,"108,234","1,058",746,3,"108,953","1,024",580,4,"109,874","1,265",513,7,"110,887","1,375",515,8,"111,546","1,581",565,9,,"111,664",5,"1,212",678
Horsham,"129,073",683,460,2,"129,790",639,424,2,"130,916",635,335,2,"131,540",542,417,1,"132,267",470,343,1,"133,173",461,320,1,"134,507",596,268,2,"136,258",625,327,2,"138,523",655,259,3,,"140,142",2,566,343
Mid Sussex,"135,734",893,507,3,"137,209",810,565,2,"138,897",762,395,3,"140,188",667,489,1,"141,260",635,551,1,"142,983",660,547,1,"144,664",723,390,2,"145,969",758,433,2,"147,540",814,379,3,,"148,345",2,686,390
Worthing,"102,369",568,438,1,"102,809",543,517,0,"103,769",530,341,2,"104,998",520,462,1,"105,774",414,407,0,"106,413",370,300,1,"107,287",466,266,2,"108,303",519,266,2,"109,246",548,306,2,,"109,632",1,473,349
Bromsgrove,"93,097",195,151,0,"93,444",208,253,0,"93,507",165,245,-1,"93,732",229,252,0,"94,281",170,132,0,"94,806",175,86,1,"95,519",178,123,1,"95,800",188,93,1,"96,770",174,86,1,,"97,594",1,154,92
Malvern Hills,"74,192",323,220,1,"74,141",332,290,1,"74,542",283,279,0,"74,706",284,210,1,"75,090",312,182,2,"75,560",279,163,2,"76,224",389,163,3,"76,136",363,167,3,"76,555",329,116,3,,"77,165",2,305,114
Redditch,"82,713",630,262,4,"83,102",355,301,1,"83,570",315,229,1,"84,318",371,227,2,"84,444",334,190,2,"84,505",365,241,1,"84,505",454,207,3,"84,821",578,260,4,"85,088",610,199,5,,"85,204",4,518,194
Worcester,"96,416",928,514,4,"97,117",760,757,0,"97,655",863,826,0,"98,679",731,783,-1,"99,622",733,471,3,"100,363",663,476,2,"100,739",680,533,1,"100,985",771,610,2,"101,927",869,510,4,,"102,314",2,718,477
Wychavon,"116,229",776,314,4,"116,499",694,450,2,"116,863",563,320,2,"117,074",478,263,2,"117,777",550,256,2,"118,906",627,239,3,"120,007",756,312,4,"121,709",739,298,4,"123,144",824,283,4,,"125,378",3,701,264
Wyre Forest,"98,143",273,154,1,"97,993",214,231,0,"97,943",157,188,0,"98,048",207,158,0,"98,087",147,113,0,"98,473",142,118,0,"98,999",157,126,0,"99,599",197,97,1,"100,007",217,109,1,,"100,715",1,188,83
St Albans,"136,088",884,644,2,"137,858",829,688,1,"139,511",783,669,1,"141,248",772,897,-1,"142,137",597,938,-2,"143,458",635,679,0,"145,208",769,518,2,"146,188",828,459,3,"147,025",907,412,3,,"147,095",2,807,498
Welwyn Hatfield,"107,442","1,817",742,10,"108,434","2,064",911,11,"109,630","1,957",593,12,"110,727","1,993",479,14,"111,661","1,804","1,251",5,"113,375","1,958",914,9,"115,341","2,077",515,14,"117,784","2,125",817,11,"121,007","2,104",579,13,,"122,274",5,"1,832","1,161"
East Hertfordshire,"134,843",845,629,2,"135,980",782,680,1,"136,922",688,626,0,"138,155",701,486,2,"139,405",603,451,1,"140,932",651,409,2,"142,781",780,306,3,"144,488",832,189,4,"146,130",905,346,4,,"147,080",2,778,443
Stevenage,"81,615",445,326,1,"82,253",406,400,0,"83,007",367,332,0,"84,247",389,309,1,"84,824",283,255,0,"85,520",293,220,1,"85,993",371,194,2,"86,579",445,97,4,"87,285",525,204,4,,"87,739",2,419,246
Bolton,"270,497","1,933","1,050",3,"273,049","1,754",904,3,"275,168","1,424",655,3,"277,296","1,857",884,4,"279,084","1,467",916,2,"280,271","1,621","1,100",2,"280,788","1,703","1,127",2,"281,828","1,865","1,029",3,"283,536","2,208","1,023",4,,"284,813",3,"1,832","1,096"
