Name,Mid-2008 Population,Inflow 2008,Outflow 2008,Net Migration Rate 2008,Mid-2009 Population,Inflow 2009,Outflow 2009,Net Migration Rate 2009,Mid-2010 Population,Inflow 2010,Outflow 2010,Net Migration Rate 2010,Mid-2011 Population,Inflow 2011,Outflow 2011,Net Migration Rate 2011,Mid-2012 Population,Inflow 2012,Outflow 2012,Net Migration Rate 2012 ,Mid-2013 Population,Inflow 2013,Outflow 2013,Net Migration Rate 2013,Mid-2014 Population,Inflow 2014,Outflow 2014,Net Migration Rate 2014,Mid-2015 Population,Inflow 2015,Outflow 2015,Net Migration Rate 2015,Mid-2016 Population,Inflow 2016,Outflow 2016,Net Migration Rate 2016,,Mid-2017 Population,Net Migration Rate 2017,Inflow 2017,Outflow 2017
Kingston upon Thames,"156,027","3,699","1,756",12,"157,307","3,578","1,532",13,"158,648","3,599","1,294",15,"160,436","4,153","1,392",17,"163,200","3,394","1,966",9,"165,657","2,864","1,466",8,"168,433","3,280","1,534",10,"171,609","3,628","1,477",13,"173,703","3,486","1,719",10,,"174,609",7,"3,098","1,852"
Lambeth,"289,126","7,667","3,887",13,"294,050","7,905","5,654",8,"297,650","7,422","6,145",4,"304,481","8,532","5,608",10,"309,366","7,414","5,565",6,"312,700","7,472","4,920",8,"316,637","7,100","4,482",8,"320,736","7,027","4,546",8,"323,063","6,737","4,967",5,,"324,048",1,"6,358","6,030"
Lewisham,"266,508","5,649","1,960",14,"270,418","4,870","2,833",8,"272,525","4,326","2,710",6,"276,938","5,411","2,736",10,"280,705","4,697","2,940",6,"284,956","4,255","2,226",7,"290,284","5,188","2,371",10,"294,999","5,366","2,357",10,"298,903","5,123","2,666",8,,"301,307",5,"4,741","3,196"
Merton,"195,859","5,530","2,460",16,"198,136","4,929","2,656",11,"199,136","3,881","2,649",6,"200,543","3,761","2,132",8,"202,047","3,172","3,303",-1,"203,637","2,858","2,095",4,"204,598","3,622","2,410",6,"205,965","3,698","2,301",7,"206,706","3,739","2,281",7,,"206,052",5,"3,438","2,458"
Newham,"276,478","13,896","2,522",41,"286,447","14,758","3,676",39,"299,171","18,787","4,030",49,"310,460","16,545","4,344",39,"316,295","12,391","3,362",29,"321,465","11,331","3,157",25,"328,066","13,688","3,648",31,"336,254","14,021","3,143",32,"344,533","14,521","3,385",32,,"347,996",25,"12,785","4,189"
Redbridge,"265,452","4,533","1,643",11,"270,435","4,282","2,506",7,"275,088","4,479","2,725",6,"281,395","5,743","2,223",13,"284,625","4,302","1,928",8,"288,850","3,848","1,239",9,"293,853","5,189","1,560",12,"297,928","5,552","1,528",14,"301,328","6,620","1,733",16,,"301,785",13,"5,732","1,817"
Richmond upon Thames,"182,927","2,664","2,493",1,"184,394","2,899","2,920",0,"186,304","2,733","2,346",2,"187,527","2,154","1,931",1,"188,971","1,832","2,238",-2,"191,138","1,635","1,552",0,"193,315","1,859","1,474",2,"194,124","1,981","1,403",3,"195,187","2,106","1,567",3,,"195,680",1,"1,871","1,637"
Southwark,"276,973","8,905","2,678",22,"281,120","9,013","3,852",18,"283,777","8,772","4,164",16,"288,717","8,557","3,494",18,"293,440","7,754","4,572",11,"298,663","8,241","4,415",13,"302,818","8,778","4,456",14,"308,434","9,081","4,332",15,"311,655","8,294","4,801",11,,"314,232",7,"7,837","5,568"
Sutton,"185,860","1,411",839,3,"188,167","1,398",866,3,"189,321","1,167",730,2,"191,123","1,219",637,3,"193,476",967,835,1,"195,787",943,587,2,"197,954","1,071",655,2,"199,870","1,117",642,2,"201,945","1,232",749,2,,"203,243",1,"1,058",866
Tower Hamlets,"231,893","9,828","3,633",27,"240,495","9,807","4,819",21,"248,520","11,650","7,305",17,"256,012","10,345","5,307",20,"263,624","10,609","4,970",21,"273,616","12,017","4,901",26,"284,596","13,117","4,789",29,"293,828","12,905","4,368",29,"300,943","11,847","5,217",22,,"307,964",18,"11,434","5,906"
Waltham Forest,"242,098","7,921","2,898",21,"248,140","7,238","3,178",16,"254,009","6,570","2,843",15,"259,742","6,779","2,489",17,"262,456","6,083","2,922",12,"265,650","5,832","2,164",14,"267,801","7,652","2,645",19,"270,671","8,018","2,486",20,"274,222","7,691","2,625",18,,"275,505",14,"7,140","3,172"
Wandsworth,"294,305","8,443","7,366",4,"299,347","8,019","8,357",-1,"302,620","7,049","8,169",-4,"307,710","6,605","5,897",2,"309,497","5,964","6,374",-1,"313,091","6,202","4,712",5,"316,536","7,005","5,431",5,"319,477","6,618","4,781",6,"321,497","6,445","5,186",4,,"323,257",0,"6,148","6,230"
Westminster,"218,673","10,040","7,761",10,"216,980","10,692","9,650",5,"217,187","11,386","9,791",7,"219,582","14,716","8,982",26,"223,737","13,416","7,940",24,"225,306","13,550","7,402",27,"229,899","14,459","7,432",31,"238,047","16,626","6,735",42,"241,974","14,590","6,785",32,,"244,796",24,"13,477","7,497"
Antrim and Newtownabbey,"136,122","1,257","1,027",2,"137,422","1,025","1,001",0,"138,044",825,"1,158",-2,"138,651",904,"1,130",-2,"139,157",742,822,-1,"139,536",617,938,-2,"139,966",678,804,-1,"132,350",562,549,0,"141,032",652,726,-1,,"141,697",-1,557,663
